,address,data,fidelity,valid_portion,select
172,01,1100,0.6673549581782479,1.0,False
174,01,1110,0.7042142195544663,1.0,False
167,01,0111,0.663821390898061,1.0,False
175,01,1111,0.7137838724355848,1.0,False
30,01,1110,0.8088585475520401,0.6711204714216173,True
17,01,0001,0.8420287769635014,0.6989721368222783,True
18,01,0010,0.819660517304898,0.6876584110671689,True
19,01,0011,0.8259243358582035,0.6936989863920007,True
20,01,0100,0.8253621817874061,0.6955952737985874,True
21,01,0101,0.8079969531112341,0.6832881028599037,True
22,01,0110,0.8164130603842449,0.6610322185166387,True
23,01,0111,0.7572394775477471,0.6753848456620071,True
24,01,1000,0.816508464722077,0.6553473848873005,True
25,01,1001,0.8492315003722948,0.6721835867128486,True
26,01,1010,0.8360919714869901,0.6452245029766912,True
27,01,1011,0.8186069977179148,0.6669997493538857,True
28,01,1100,0.7767481164533888,0.6751507978086158,True
29,01,1101,0.8359623779946205,0.6810479571598297,True
31,01,1111,0.8319278455434376,0.669653477080312,True
16,01,0000,0.8171128814340518,0.6827915599063326,True
177,10,0001,0.7078743213762041,1.0,False
33,10,0001,0.7966349410301138,0.6627742876821708,True
34,10,0010,0.7834744436654506,0.6742087932414053,True
35,10,0011,0.7815195142410526,0.6742581226793192,True
36,10,0100,0.7981834871615949,0.6936978218925226,True
37,10,0101,0.8148562596144708,0.6803376851398092,True
38,10,0110,0.7883615510010804,0.6730203597434776,True
39,10,0111,0.7902882204064268,0.6757623326882813,True
40,10,1000,0.7966103964976023,0.6833558435977164,True
41,10,1001,0.7831986652770928,0.678989210726675,True
42,10,1010,0.7967824513660483,0.6815887553257491,True
43,10,1011,0.7890155362094694,0.6805588222286046,True
44,10,1100,0.7994961316417416,0.6847712754332055,True
32,10,0000,0.805655179293742,0.6704090931121938,True
176,10,0000,0.7180853213524715,1.0,False
46,10,1110,0.7694761800324532,0.6694667506212573,True
178,10,0010,0.6877665472742714,1.0,False
45,10,1101,0.8186399668866958,0.6829782431786999,True
191,10,1111,0.706580986697524,1.0,False
190,10,1110,0.694750135910842,1.0,False
47,10,1111,0.7877784323492154,0.682870091092392,True
188,10,1100,0.6985841058566323,1.0,False
187,10,1011,0.7070532764592274,1.0,False
186,10,1010,0.709327902785449,1.0,False
189,10,1101,0.706467172575443,1.0,False
184,10,1000,0.7002774805723412,1.0,False
183,10,0111,0.6987953077416853,1.0,False
182,10,0110,0.6921280540196092,1.0,False
181,10,0101,0.7190886649965057,1.0,False
180,10,0100,0.7073312049885822,1.0,False
179,10,0011,0.6932844541664157,1.0,False
185,10,1001,0.6830531027955316,1.0,False
207,11,1111,0.6858015417365099,1.0,False
206,11,1110,0.647647026197128,1.0,False
205,11,1101,0.681636977855486,1.0,False
204,11,1100,0.7099621967528091,1.0,False
203,11,1011,0.7132603592742327,1.0,False
202,11,1010,0.6856636403494754,1.0,False
201,11,1001,0.6682541838680724,1.0,False
193,11,0001,0.6853252941616352,1.0,False
198,11,0110,0.6727210285600744,1.0,False
197,11,0101,0.689749191425911,1.0,False
196,11,0100,0.6991403803776419,1.0,False
195,11,0011,0.6693734735673357,1.0,False
194,11,0010,0.7081119514205528,1.0,False
192,11,0000,0.7008558496894937,1.0,False
200,11,1000,0.6993236585522447,1.0,False
48,11,0000,0.8356022027422715,0.6243356568836324,True
199,11,0111,0.6762740252716881,1.0,False
55,11,0111,0.8229594378506453,0.6126631420846259,True
57,11,1001,0.7983395861040687,0.6216479938751716,True
56,11,1000,0.8573299175637832,0.6353508078305821,True
60,11,1100,0.8726282058214854,0.6219917711267159,True
54,11,0110,0.8292851982889895,0.6138827230832888,True
53,11,0101,0.836638219557339,0.6327616643883736,True
52,11,0100,0.849647829504608,0.623601442673733,True
51,11,0011,0.8149292981910476,0.6088685631446329,True
50,11,0010,0.8549979100259457,0.6113206175290108,True
49,11,0001,0.836839040053303,0.6239139993238683,True
61,11,1101,0.8231245100992434,0.6130448762534336,True
62,11,1110,0.8046936283774385,0.6302643521561206,True
63,11,1111,0.8228372697393093,0.6509703887223679,True
59,11,1011,0.8464658059560453,0.6409046703395106,True
58,11,1010,0.8405756403006999,0.6289168459939507,True
350,0+,1110,0.7179194296104606,0.7915431491798567,noresponesebranch
305,0+,0001,0.782215916057447,0.7802589538013686,responsebranch
306,0+,0010,0.789731080553296,0.807560580897755,responsebranch
307,0+,0011,0.803603003858842,0.7999517069387401,responsebranch
309,0+,0101,0.7516024314883601,0.7813647006577826,responsebranch
310,0+,0110,0.7616453240368624,0.7941459454782872,responsebranch
311,0+,0111,0.7511529941272398,0.8148649281955052,responsebranch
312,0+,1000,0.7614101555664624,0.8045278218322801,responsebranch
313,0+,1001,0.7871233878671504,0.8147018611140561,responsebranch
314,0+,1010,0.7849745155979916,0.8105833170888691,responsebranch
315,0+,1011,0.8067865754341085,0.8186804303325618,responsebranch
316,0+,1100,0.78650855250783,0.8150815934946521,responsebranch
304,0+,0000,0.7970697970083505,0.7904573281838324,responsebranch
351,0+,1111,0.7176671878972634,0.8141364186825706,noresponesebranch
255,0+,1111,0.6786936504853083,1.0,False
240,0+,0000,0.6777544659706205,1.0,False
241,0+,0001,0.6529754102098425,1.0,False
242,0+,0010,0.6718636029141624,1.0,False
243,0+,0011,0.6792763316218563,1.0,False
244,0+,0100,0.6346541072642448,1.0,False
245,0+,0101,0.6221092322285975,1.0,False
246,0+,0110,0.6446234685743405,1.0,False
247,0+,0111,0.6502731571043416,1.0,False
248,0+,1000,0.6538934345374092,1.0,False
249,0+,1001,0.6789832102757681,1.0,False
250,0+,1010,0.6752986211338824,1.0,False
251,0+,1011,0.6966599670466755,1.0,False
252,0+,1100,0.6832698370900014,1.0,False
253,0+,1101,0.6876092758249978,1.0,False
254,0+,1110,0.6725020458024165,1.0,False
317,0+,1101,0.7876105275618873,0.81169659192518,responsebranch
318,0+,1110,0.781902039852869,0.7924276483722635,responsebranch
308,0+,0100,0.756896643216652,0.7926513519928178,responsebranch
96,0+,0000,0.8251186766135357,0.6595233407436596,True
336,0+,0000,0.7222819360799915,0.8100934496907491,noresponesebranch
319,0+,1111,0.7831127796396739,0.8004788577779165,responsebranch
337,0+,0001,0.69796056198153,0.8066001584415784,noresponesebranch
111,0+,1111,0.8073135126703046,0.6677271379161803,True
338,0+,0010,0.7111691894633507,0.8003839192577444,noresponesebranch
339,0+,0011,0.7252154297927413,0.8185432144417029,noresponesebranch
340,0+,0100,0.6753368840822417,0.8071973852646283,noresponesebranch
341,0+,0101,0.6620903321414985,0.8126520934635119,noresponesebranch
342,0+,0110,0.6807968943986135,0.806126952086852,noresponesebranch
343,0+,0111,0.681388796234199,0.8273712232276695,noresponesebranch
344,0+,1000,0.6905223686259622,0.8135226460394541,noresponesebranch
345,0+,1001,0.7212851817231091,0.818694300949911,noresponesebranch
346,0+,1010,0.7185002815156065,0.8085111019441192,noresponesebranch
347,0+,1011,0.7388603513965876,0.8279362828331671,noresponesebranch
348,0+,1100,0.7236271057500344,0.8127999916882854,noresponesebranch
349,0+,1101,0.7295922946571413,0.8140488865336957,noresponesebranch
103,0+,0111,0.7716829874429474,0.6911661028802141,True
100,0+,0100,0.7849397717179147,0.657945689674686,True
101,0+,0101,0.7817113543227204,0.6518181551761837,True
102,0+,0110,0.7854479132134116,0.6589369874929618,True
97,0+,0001,0.8121961893499042,0.6481903231727069,True
104,0+,1000,0.7850078610398985,0.6730783474302802,True
105,0+,1001,0.8151730562581945,0.6859104464233113,True
99,0+,0011,0.8345779553945979,0.674775680315121,True
106,0+,1010,0.812996886277527,0.6745994498423392,True
108,0+,1100,0.8102423258217829,0.6806059146561861,True
109,0+,1101,0.813723614614915,0.6802756238817639,True
110,0+,1110,0.8122873171806564,0.6453240992988277,True
107,0+,1011,0.8350197902189148,0.6957603879886547,True
98,0+,0010,0.8132425595270382,0.6667390013453459,True
335,1+,1111,0.7263793634606197,0.8349375013257605,noresponesebranch
334,1+,1110,0.6997285238172251,0.8083805360524489,noresponesebranch
333,1+,1101,0.7100572795022149,0.8177772648629194,noresponesebranch
332,1+,1100,0.7627500616480342,0.8164680104993268,noresponesebranch
237,1+,1101,0.6516039011035588,1.0,False
235,1+,1011,0.6741596711902061,1.0,False
331,1+,1011,0.7275290381956327,0.8333629751407259,noresponesebranch
239,1+,1111,0.6754690630430423,1.0,False
238,1+,1110,0.6410286262172422,1.0,False
236,1+,1100,0.7023797949978264,1.0,False
330,1+,1010,0.7081856262329311,0.8184842055646302,noresponesebranch
321,1+,0001,0.7033048821173543,0.8082703950122915,noresponesebranch
328,1+,1000,0.6966438430259734,0.801770909424925,noresponesebranch
234,1+,1010,0.6484512737980509,1.0,False
303,1+,1111,0.7665073606602838,0.7874172623707584,responsebranch
302,1+,1110,0.7409766403799354,0.786527555755065,responsebranch
301,1+,1101,0.76152607104557,0.7732328000278954,responsebranch
300,1+,1100,0.8101644623476485,0.7877731843279691,responsebranch
299,1+,1011,0.7660350048506843,0.7814136785941515,responsebranch
298,1+,1010,0.7551005097120654,0.7770779529414858,responsebranch
297,1+,1001,0.731257125281937,0.7660856432077622,responsebranch
296,1+,1000,0.7533985052417946,0.7659189445525226,responsebranch
295,1+,0111,0.7280441838361592,0.7835438325330203,responsebranch
294,1+,0110,0.7212367056171135,0.7608786707030963,responsebranch
329,1+,1001,0.6837327115765657,0.8106179276622988,noresponesebranch
293,1+,0101,0.7394684153099244,0.7660391397536901,responsebranch
291,1+,0011,0.7443760849710398,0.7852601605401003,responsebranch
290,1+,0010,0.7498552068251966,0.7740838913695609,responsebranch
289,1+,0001,0.7479461381145441,0.767828647415435,responsebranch
288,1+,0000,0.7989611300871805,0.7658680603955538,responsebranch
320,1+,0000,0.7401425773356382,0.8129588064105198,noresponesebranch
322,1+,0010,0.6988929853553439,0.8047183461888918,noresponesebranch
323,1+,0011,0.7052417647873611,0.8154046005359689,noresponesebranch
324,1+,0100,0.7353955462410501,0.8224743729024492,noresponesebranch
325,1+,0101,0.7002731373730582,0.8181369085114609,noresponesebranch
326,1+,0110,0.6601987439536283,0.808820168122632,noresponesebranch
327,1+,0111,0.694809319856999,0.8180745086294482,noresponesebranch
292,1+,0100,0.7881698330446747,0.7691211565490689,responsebranch
233,1+,1001,0.6243359002395217,1.0,False
232,1+,1000,0.6396743100619333,1.0,False
80,1+,0000,0.8441567048148094,0.6408743175282067,True
81,1+,0001,0.7947154709311016,0.6431416305081222,True
93,1+,1101,0.8048539467352862,0.6550906511445111,True
95,1+,1111,0.8044177937732028,0.6746633786838465,True
91,1+,1011,0.8043048939698781,0.6693165293443735,True
231,1+,0111,0.6413000136073568,1.0,False
90,1+,1010,0.7987640230608507,0.6586823861369091,True
89,1+,1001,0.7769823312087325,0.6430167492397425,True
88,1+,1000,0.7955669985919022,0.6355012682429432,True
87,1+,0111,0.7685796571351383,0.6584947120905226,True
86,1+,0110,0.7586233712762878,0.6358082137269462,True
92,1+,1100,0.8531644947625369,0.6643605605152565,True
84,1+,0100,0.8348903972439888,0.6535759378624733,True
230,1+,0110,0.6100385979481114,1.0,False
85,1+,0101,0.7884044914908805,0.6501389120636283,True
229,1+,0101,0.6347290215987498,1.0,False
228,1+,0100,0.6726776266045195,1.0,False
227,1+,0011,0.6540196599609899,1.0,False
