name,qpu_width,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,mip_min_latency,mip_QU,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,basic_min_latency,basic_QU,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,error_min_latency,error_QU,latency_min_latency,latency_QU,width,depth,two_qubit_gate_num,one_qubit_gate_num,size,qubit_utilizztion,fidelity,latency_all
vqe_indep_qiskit_8,5,2.0,2.0,32.0,2.65e-06,0.9870391835683056,2.65e-06,0.6480598077607689,2.0,2.0,32,2.65e-06,0.9870391835683056,2.65e-06,0.6480598077607689,2.0,2.0,32,2.65e-06,0.9870391835683056,2.65e-06,0.6480598077607689,2.65e-06,0.6480598077607689,8,12,14,24,38,0.5692883895131087,0.9969640101989584,4.65e-06
vqe_nativegates_ibm_qiskit_opt3_16,5,8.0,5.0,288.0,2.9999999999999992e-06,0.968725959681537,2.5999999999999992e-06,0.3465846153846155,8.0,5.0,256,3.099999999999999e-06,0.9687259600694154,2.3999999999999995e-06,0.3523807277419354,8.0,5.0,256,3.099999999999999e-06,0.9687259600694154,2.3999999999999995e-06,0.3523807277419354,2.3999999999999995e-06,0.3523807277419354,16,29,30,176,206,0.41675617615467236,0.9922681268646619,9.100000000000001e-06
vqe_nativegates_ibm_qiskit_opt3_16,10,2.0,2.0,32.0,5.100000000000003e-06,0.9745584072771418,5.100000000000001e-06,0.5193491582060078,2.0,2.0,32,5.600000000000003e-06,0.974558411957362,4.600000000000001e-06,0.5219671972049685,2.0,2.0,32,5.600000000000003e-06,0.974558411957362,4.600000000000001e-06,0.5219671972049685,4.600000000000001e-06,0.5219671972049685,16,29,30,176,206,0.41675617615467236,0.9922681268646619,9.100000000000001e-06
wstate_indep_qiskit_106,27,8.0,5.0,288.0,1.3700000000000004e-05,0.8536995233994115,1.0950000000000004e-05,0.0673793392985579,8.0,5.0,256,1.4800000000000002e-05,0.8536995282675434,3.1999999999999994e-06,0.0785529073741426,8.0,5.0,256,1.4800000000000002e-05,0.8536995282675434,3.1999999999999994e-06,0.0785529073741426,3.1999999999999994e-06,0.0785529073741426,106,212,210,211,421,0.06828807629191558,0.9568398746670976,5.8749999999999985e-05
wstate_indep_qiskit_106,50,4.0,3.0,272.0,2.3e-05,0.8571227638621324,1.4800000000000002e-05,0.1714291543721984,4.0,3.0,256,2.745e-05,0.8571227638621327,5.400000000000001e-06,0.1889260733758724,4.0,3.0,256,2.745e-05,0.8571227638621327,5.400000000000001e-06,0.1889260733758724,5.400000000000001e-06,0.1889260733758724,106,212,210,211,421,0.06828807629191558,0.9568398746670976,5.8749999999999985e-05
wstate_indep_qiskit_106,65,2.0,2.0,32.0,3.454999999999999e-05,0.8588395257653028,2.47e-05,0.2894173973159427,2.0,2.0,32,3.5699999999999994e-05,0.8588395257653029,2.355e-05,0.2869193965885525,2.0,2.0,32,3.5699999999999994e-05,0.8588395257653029,2.355e-05,0.2869193965885525,2.355e-05,0.2869193965885525,106,212,210,211,421,0.06828807629191558,0.9568398746670976,5.8749999999999985e-05
wstate_indep_qiskit_108,27,8.0,5.0,288.0,1.4250000000000002e-05,0.851277457478347,1.0950000000000004e-05,0.0662881440408916,8.0,5.0,256,1.4800000000000002e-05,0.8512774590964537,4.3e-06,0.0730199018522228,8.0,5.0,256,1.4800000000000002e-05,0.8512774590964537,4.3e-06,0.0730199018522228,4.3e-06,0.0730199018522228,108,216,214,215,429,0.06708855091715042,0.9560362979589312,5.9849999999999984e-05
wstate_indep_qiskit_108,50,4.0,3.0,288.0,2.41e-05,0.8546909808514068,1.7e-05,0.1687406589426653,4.0,3.0,256,2.745e-05,0.8546909824760022,6.500000000000002e-06,0.1823947251299969,4.0,3.0,256,2.745e-05,0.8546909824760022,6.500000000000002e-06,0.1823947251299969,6.500000000000002e-06,0.1823947251299969,108,216,214,215,429,0.06708855091715042,0.9560362979589312,5.9849999999999984e-05
wstate_indep_qiskit_108,65,2.0,2.0,32.0,3.3499999999999994e-05,0.8564028736770786,2.6849999999999995e-05,0.2859387763563913,2.0,2.0,32,3.5699999999999994e-05,0.8564028736770787,2.465e-05,0.2861100643513244,2.0,2.0,32,3.5699999999999994e-05,0.8564028736770787,2.465e-05,0.2861100643513244,2.465e-05,0.2861100643513244,108,216,214,215,429,0.06708855091715042,0.9560362979589312,5.9849999999999984e-05
wstate_indep_qiskit_114,27,10.0,5.0,4096.0,1.4250000000000002e-05,0.8423651959647576,8.200000000000004e-06,0.056101921764505,8.0,5.0,256,1.4800000000000002e-05,0.844052404219393,7.6000000000000035e-06,0.065367984369763,8.0,5.0,256,1.4800000000000002e-05,0.844052404219393,7.6000000000000035e-06,0.065367984369763,7.6000000000000035e-06,0.065367984369763,114,228,226,227,453,0.06373009693096682,0.953629614743949,6.314999999999999e-05
