qpu_width,name,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,mip_min_latency,mip_QU,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,basic_min_latency,basic_QU,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,error_min_latency,error_QU,latency_num_cuts,latency_subcircuits_num,latency_DataFlux,latency_Latency,latency_Fidelity,latency_min_latency,latency_QU
5,dj_nativegates_ibm_qiskit_opt3_8,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,8,2.2499999999999996e-06,0.9892732273393317,1.7499999999999998e-06,0.5588571428571427
27,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,,,,,,,,131.0,7.0,18014398509481984,4.099999999999998e-05,0.5930086638033666,1.5400000000000005e-05,0.025317848774939814,,,,,,,
16,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,,,,,,,,,,,,,,,213.0,18.0,4294967296,2.5749999999999996e-05,0.5464397251548082,9.100000000000003e-06,0.0010235146670656173
16,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,,,,,,,,213.0,18.0,4294967296,2.5749999999999996e-05,0.5464397251548082,9.100000000000003e-06,0.0010235146670656173,,,,,,,
50,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,69.0,3.0,1267650600228229401496703205376,0.00010144999999999993,0.6307282939880666,2.4399999999999997e-05,0.28296455870856974,,,,,,,,,,,,,,
27,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,,,,,,,,,,,,,,,131.0,7.0,18014398509481984,4.099999999999998e-05,0.5930086638033666,1.5400000000000005e-05,0.025317848774939814
50,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,,,,,,,,,,,,,,,69.0,3.0,1267650600228229401496703205376,0.00010144999999999993,0.6307282939880666,2.4399999999999997e-05,0.28296455870856974
50,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,,,,,,,,69.0,3.0,1267650600228229401496703205376,0.00010144999999999993,0.6307282939880666,2.4399999999999997e-05,0.28296455870856974,,,,,,,
16,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,224.0,19.0,4294967296,2.2899999999999998e-05,0.5404717585858704,9.100000000000003e-06,0.000707784358383474,,,,,,,,,,,,,,
27,peexact_nativegates_ibm_qiskit_opt3_52,,,,,,,,131.0,7.0,18014398509481984,4.099999999999998e-05,0.5930086638033666,1.5400000000000005e-05,0.025317848774939814,,,,,,,,,,,,,,
27,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,,,,,,,,4.0,5.0,52,1.3250000000000004e-05,0.8541827124393717,9.250000000000001e-06,0.04995201796695839,,,,,,,
27,dj_nativegates_ibm_qiskit_opt3_123,4.0,5.0,40.0,1.3250000000000004e-05,0.854182914943782,1.1750000000000003e-05,0.049589087620648654,,,,,,,,,,,,,,,,,,,,,
50,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,24,2.474999999999998e-05,0.8558834780736073,1.2250000000000003e-05,0.15120109197273932
50,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,2.0,3.0,24,2.474999999999998e-05,0.8558834780736073,1.2250000000000003e-05,0.15120109197273932,,,,,,,,,,,,,,
65,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,8,3.2249999999999964e-05,0.8567312008912117,2.924999999999997e-05,0.2704580779523325
65,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,1.0,2.0,8,3.2249999999999964e-05,0.8567312008912117,2.924999999999997e-05,0.2704580779523325,,,,,,,,,,,,,,
65,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,,,,,,,,1.0,2.0,8,3.2249999999999964e-05,0.8567312008912117,2.924999999999997e-05,0.2704580779523325,,,,,,,
65,dj_nativegates_ibm_qiskit_opt3_123,1.0,2.0,8.0,3.1749999999999965e-05,0.8567312572661023,2.9749999999999968e-05,0.27043184675445026,,,,,,,,,,,,,,,,,,,,,
27,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,52,1.3250000000000004e-05,0.8541827124393717,9.250000000000001e-06,0.04995201796695839
50,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,,,,,,,,2.0,3.0,24,2.474999999999998e-05,0.8558834780736073,1.2250000000000003e-05,0.15120109197273932,,,,,,,
50,dj_nativegates_ibm_qiskit_opt3_123,2.0,3.0,24.0,2.124999999999999e-05,0.8558852865675428,2.0249999999999994e-05,0.1486066478261526,,,,,,,,,,,,,,,,,,,,,
27,dj_nativegates_ibm_qiskit_opt3_123,,,,,,,,4.0,5.0,52,1.3250000000000004e-05,0.8541827124393717,9.250000000000001e-06,0.04995201796695839,,,,,,,,,,,,,,
20,ghz_nativegates_ibm_qiskit_opt3_32,1.0,2.0,8.0,9.650000000000002e-06,0.961513075927367,6.000000000000001e-06,0.32134316460741313,,,,,,,,,,,,,,,,,,,,,
20,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,1.0,2.0,8,9.650000000000002e-06,0.961513075927367,6.000000000000001e-06,0.32134316460741313,,,,,,,
27,ghz_nativegates_ibm_qiskit_opt3_32,1.0,2.0,8.0,1.0150000000000003e-05,0.961513075927367,5.500000000000001e-06,0.32334428024083184,,,,,,,,,,,,,,,,,,,,,
10,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,3.0,4.0,40,4.6499999999999995e-06,0.9595910304842477,2e-06,0.15445161290322584,,,,,,,,,,,,,,
20,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,8,9.650000000000002e-06,0.961513075927367,6.000000000000001e-06,0.32134316460741313
15,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,24,7.150000000000001e-06,0.9605515724588767,1.5e-06,0.2446969696969696
16,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,2.0,3.0,24,7.650000000000001e-06,0.9605515724588765,5e-07,0.32123161764705865,,,,,,,,,,,,,,
27,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,1.0,2.0,8,1.3150000000000005e-05,0.9615130759273672,2.4999999999999998e-06,0.3615453222550814,,,,,,,,,,,,,,
